"id","row","name","x_mm","y_mm","z_mm","orthogonal_stock_fit","plan_dimension_under_25mm"
"classic-0","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-1","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-2","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-3","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-4","1","Кладка · интерполированная перевязка","200","125","65","false","false"
"classic-5","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-6","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-7","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-8","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-9","1","Кладка · интерполированная перевязка","200","125","65","false","false"
"classic-10","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-11","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-12","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-13","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-14","1","Кладка · интерполированная перевязка","200","125","65","false","false"
"classic-15","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-16","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-17","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-18","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-19","1","Кладка · интерполированная перевязка","200","125","65","false","false"
"classic-20","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-21","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-22","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-23","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-24","1","Кладка · интерполированная перевязка","200","125","65","false","false"
"classic-25","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-26","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-27","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-28","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-29","1","Кладка · интерполированная перевязка","200","125","65","false","false"
"classic-30","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-31","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-32","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-33","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-34","1","Кладка · интерполированная перевязка","200","125","65","false","false"
"classic-35","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-36","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-37","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-38","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-39","1","Кладка · интерполированная перевязка","200","125","65","false","false"
"classic-40","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-41","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-42","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-43","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-44","1","Кладка · интерполированная перевязка","200","125","65","false","false"
"classic-45","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-46","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-47","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-48","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-49","1","Кладка · интерполированная перевязка","200","125","65","false","false"
"classic-50","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-51","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-52","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-53","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-54","1","Кладка · интерполированная перевязка","200","125","65","false","false"
"classic-55","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-56","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-57","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-58","1","Кладка · интерполированная перевязка","250","125","65","false","false"
"classic-59","1","Кладка · интерполированная перевязка","200","125","65","false","false"
